02/09/30	25.29	38.150	70185	fill	pioneer
02/10/12	20.00	26.842	70649	no	sunoco
02/10/16	30.00	40.270	70817	no	petrocan
02/10/21	20.00	29.492	71198	no	pioneer
02/10/28	20.00	29.800	71428	no	pioneer
02/11/02	26.00	35.378	71645	no	esso
02/11/06	16.00	21.710	71947	no	sunoco
02/11/09	26.24	35.215	72168	no	esso
02/11/11	39.56	57.915	72571	fill	pioneer
02/11/18	27.38	42.325	72891	fill	pioneer
02/11/27	20.00	30.355	73275	no	sunoco
02/12/02	20.00	31.440	73487	no	pioneer
02/12/06	24.75	35.616	73614	fill	esso
02/12/11	20.01	28.914	74038	no	petrocan
02/12/16	36.77	57.005	74368	fill	pioneer
02/12/31	20.00	26.702	74773	no	shell
